project_id,contract_value_pln,change_orders_pln,total_contract_pln,budget_total_cost_pln,planned_margin_pct
P056,141152853.81654173,15021654.259361053,156174508.0759028,123481254.59498198,0.1251947710850237
P036,195577157.3857944,23557093.45555663,219134250.84135103,171066825.4506163,0.1253230809916576
P051,253909743.7909576,10471438.259912012,264381182.05086955,229797238.84618887,0.094964866589052
P041,269496131.10526824,3307262.4228993105,272803393.52816755,243928715.0818155,0.0948711802228649
P061,160501571.5893327,6309124.314316508,166810695.9036492,143153905.0483454,0.1080840914466177
P021,126045680.61015517,5994290.607176336,132039971.21733148,121599250.0353732,0.0352763423011236
P011,350000000.0,35669240.80158165,385669240.8015816,321502387.6361865,0.0814217496108957
P042,100476618.93435422,-2009532.3786870844,98467086.55566712,93857935.41603978,0.065872872599731
P008,114964318.22979692,13935837.5474265,128900155.77722344,106347637.25194424,0.0749509161671294
P039,250178488.72791305,16367044.473121226,266545533.20103425,231697509.63467315,0.0738711756842502
P043,97262053.30731642,1266668.4759514187,98528721.78326784,87410121.33005187,0.1012926587734649
P027,158348532.8592592,-3166970.657185184,155181562.202074,143797325.7224289,0.0918935393595561
P058,190347698.43230915,24348005.644158043,214695704.0764672,170208327.8240084,0.1058030686694257
P046,318223467.13495606,-6364469.342699122,311858997.7922569,294320636.0594299,0.0751133512896747
P035,220901443.52460623,22326520.611305308,243227964.13591155,194103932.97373748,0.1213098027939495
P045,350000000.0,-7000000.0,343000000.0,321746141.69634795,0.0807253094390058
P006,171671057.0869174,-2112427.2339894124,169558629.85292798,155305627.74921536,0.0953301599897306
P053,119987461.90574434,17651157.02151994,137638618.92726427,113158856.93765108,0.0569109876951763
P044,194846478.4841673,18157063.87894912,213003542.36311644,182858673.96439427,0.0615243581153413
P052,110713812.42062289,-2214276.2484124578,108499536.17221044,98948560.14775884,0.1062672490056219
P023,166698976.80986345,16118651.873323042,182817628.6831865,153627611.85776722,0.0784129885032551
P062,269626623.2021176,-5392532.464042352,264234090.7380752,252873987.2736902,0.062132721648445
P030,198254824.9163857,1322494.7492119165,199577319.66559765,170667991.43531102,0.1391483586475612
P012,124605770.30134362,-1119214.6401782795,123486555.66116534,110927982.1630911,0.1097684971183476
P014,350000000.0,24693936.46587672,374693936.4658767,325011919.5342306,0.071394515616484
P040,167956119.49989453,-3275254.569629518,164680864.930265,150957872.02846223,0.1012064789425132
P054,69436037.13211013,-8411.789257890214,69427625.34285225,65271423.97227829,0.0599776907185555
P017,350000000.0,-3107093.439686551,346892906.56031346,305260152.5498482,0.1278281355718623
P048,132477938.4592186,16810070.313260518,149288008.77247912,123412864.2335577,0.0684270477869146
P029,221948652.232665,12200933.912661938,234149586.1453269,207755609.4340906,0.0639474160162777
P010,47464491.4503962,4045416.659629379,51509908.11002559,44894202.83450125,0.0541518203893766
P024,299197999.5990827,10359906.15168392,309557905.75076663,256565140.9928377,0.1424904533565462
P007,236470424.82328475,-4729408.496465695,231741016.32681903,207601119.9492105,0.1220842094551501
P066,350000000.0,-961454.24698189,349038545.7530181,313790121.2804779,0.1034567963414917
P038,82943450.83890654,-1658869.0167781308,81284581.82212842,75966887.55248247,0.0841122863331791
P055,202935651.1942145,-4058713.02388429,198876938.1703302,191905390.5462052,0.0543534888182515
P031,137902745.99611747,6300074.431201406,144202820.42731887,120645056.348369,0.1251439159031275
P005,350000000.0,32222808.812710017,382222808.8127101,320986127.75562614,0.0828967778410681
P022,52195598.476342365,3522677.0502128573,55718275.526555225,45687868.24158223,0.1246796746225596
P003,350000000.0,38603478.80051091,388603478.8005109,314838221.873092,0.100462223219737
P015,350000000.0,28907641.962865416,378907641.9628654,320737066.6328726,0.0836083810489354
