month_key,month_start,year,quarter,month_no,month_name,year_month
202207,2022-07-01,2022,3,7,Jul,2022-07
202208,2022-08-01,2022,3,8,Aug,2022-08
202209,2022-09-01,2022,3,9,Sep,2022-09
202210,2022-10-01,2022,4,10,Oct,2022-10
202211,2022-11-01,2022,4,11,Nov,2022-11
202212,2022-12-01,2022,4,12,Dec,2022-12
202301,2023-01-01,2023,1,1,Jan,2023-01
202302,2023-02-01,2023,1,2,Feb,2023-02
202303,2023-03-01,2023,1,3,Mar,2023-03
202304,2023-04-01,2023,2,4,Apr,2023-04
202305,2023-05-01,2023,2,5,May,2023-05
202306,2023-06-01,2023,2,6,Jun,2023-06
202307,2023-07-01,2023,3,7,Jul,2023-07
202308,2023-08-01,2023,3,8,Aug,2023-08
202309,2023-09-01,2023,3,9,Sep,2023-09
202310,2023-10-01,2023,4,10,Oct,2023-10
202311,2023-11-01,2023,4,11,Nov,2023-11
202312,2023-12-01,2023,4,12,Dec,2023-12
202401,2024-01-01,2024,1,1,Jan,2024-01
202402,2024-02-01,2024,1,2,Feb,2024-02
202403,2024-03-01,2024,1,3,Mar,2024-03
202404,2024-04-01,2024,2,4,Apr,2024-04
202405,2024-05-01,2024,2,5,May,2024-05
202406,2024-06-01,2024,2,6,Jun,2024-06
202407,2024-07-01,2024,3,7,Jul,2024-07
202408,2024-08-01,2024,3,8,Aug,2024-08
202409,2024-09-01,2024,3,9,Sep,2024-09
202410,2024-10-01,2024,4,10,Oct,2024-10
202411,2024-11-01,2024,4,11,Nov,2024-11
202412,2024-12-01,2024,4,12,Dec,2024-12
202501,2025-01-01,2025,1,1,Jan,2025-01
202502,2025-02-01,2025,1,2,Feb,2025-02
202503,2025-03-01,2025,1,3,Mar,2025-03
202504,2025-04-01,2025,2,4,Apr,2025-04
202505,2025-05-01,2025,2,5,May,2025-05
202506,2025-06-01,2025,2,6,Jun,2025-06
202507,2025-07-01,2025,3,7,Jul,2025-07
202508,2025-08-01,2025,3,8,Aug,2025-08
202509,2025-09-01,2025,3,9,Sep,2025-09
202510,2025-10-01,2025,4,10,Oct,2025-10
202511,2025-11-01,2025,4,11,Nov,2025-11
202512,2025-12-01,2025,4,12,Dec,2025-12
202601,2026-01-01,2026,1,1,Jan,2026-01
202602,2026-02-01,2026,1,2,Feb,2026-02
202603,2026-03-01,2026,1,3,Mar,2026-03
202604,2026-04-01,2026,2,4,Apr,2026-04
202605,2026-05-01,2026,2,5,May,2026-05
202606,2026-06-01,2026,2,6,Jun,2026-06
202607,2026-07-01,2026,3,7,Jul,2026-07
202608,2026-08-01,2026,3,8,Aug,2026-08
202609,2026-09-01,2026,3,9,Sep,2026-09
202610,2026-10-01,2026,4,10,Oct,2026-10
202611,2026-11-01,2026,4,11,Nov,2026-11
202612,2026-12-01,2026,4,12,Dec,2026-12
202701,2027-01-01,2027,1,1,Jan,2027-01
202702,2027-02-01,2027,1,2,Feb,2027-02
202703,2027-03-01,2027,1,3,Mar,2027-03
202704,2027-04-01,2027,2,4,Apr,2027-04
202705,2027-05-01,2027,2,5,May,2027-05
202706,2027-06-01,2027,2,6,Jun,2027-06
202707,2027-07-01,2027,3,7,Jul,2027-07
202708,2027-08-01,2027,3,8,Aug,2027-08
202709,2027-09-01,2027,3,9,Sep,2027-09
202710,2027-10-01,2027,4,10,Oct,2027-10
202711,2027-11-01,2027,4,11,Nov,2027-11
