vendor_key,vendor_name,vendor_category
1,SteelWorks Supply Co.,Materials
2,Gulf Mechanical Services,Subcontract
3,Pioneer Scaffolding LLC,Subcontract
4,Atlas Electrical & Instrumentation,Subcontract
5,Riverbend Rentals,Equipment
6,Summit Insulation,Materials
7,BlueLine Logistics,Logistics
8,Delta Piping Fabrication,Materials
9,Ironclad Coatings,Materials
10,Metro Crane Services,Equipment
11,Nova Automation,Subcontract
12,Frontier Concrete,Materials
13,Falcon Safety Services,Services
14,Sunset HVAC Contractors,Subcontract
