po_id,project_id,vendor_key,po_issue_month_key,expected_payment_month_key,status,committed_amount,invoiced_amount,paid_amount,retainage_pct
PO100001,P056,9,202207,202211,Partially Invoiced,7569197.48626537,5721146.821164327,5166549.963923271,0.0
PO100002,P056,3,202302,202303,Partially Invoiced,13318790.56865987,6573870.316355089,4830456.06479306,0.03497370505697186
PO100003,P056,7,202304,202304,Partially Invoiced,4852118.744733667,3521339.12597957,2590572.03546856,0.0
PO100004,P056,1,202302,202306,Partially Invoiced,1473706.128216374,1228488.0660960765,991048.0374053948,0.0
PO100005,P056,5,202304,202304,Partially Invoiced,25630376.82979234,12645147.975543505,12215825.632828295,0.0
PO100006,P056,7,202210,202211,Open,2019114.490721195,198095.85473274282,73391.6458604891,0.0
PO100007,P056,10,202301,202303,Partially Invoiced,2265895.2564965882,1769647.6170196761,1699020.0343015648,0.0
PO100008,P056,11,202207,202208,Open,5615752.140656121,23935.105510247668,8837.23827190066,0.0
PO100009,P056,13,202211,202302,Closed,4635294.822372153,4382367.8171094395,3589745.0671365634,0.0
PO100010,P056,13,202302,202303,Partially Invoiced,1931758.4027961458,924932.9989917594,788431.8113538367,0.06408650053205447
PO100011,P056,8,202209,202210,Closed,19939423.7584868,18030399.683399636,13792755.225996023,0.0
PO100012,P056,9,202212,202304,Partially Invoiced,7047274.52365035,4322183.547863442,3599885.301220433,0.0
PO100013,P056,9,202304,202306,Partially Invoiced,9963554.683681179,8382874.978780263,7441978.389217272,0.0
PO100014,P036,3,202301,202302,Partially Invoiced,8616601.115447063,6737062.858700022,6395034.903093084,0.0
PO100015,P036,9,202305,202308,Partially Invoiced,1517799.398904614,964815.3258451428,873531.8783857375,0.0
PO100016,P036,14,202304,202307,Closed,15793496.739642676,14537419.011280155,13419945.715849621,0.04354677540970553
PO100017,P036,5,202212,202212,Partially Invoiced,12975968.581428926,4283294.295734427,4159997.9588376577,0.0
PO100018,P036,2,202307,202308,Partially Invoiced,1680060.17774962,876636.1351713006,634138.2889489917,0.048770231200158665
PO100019,P036,13,202209,202209,Partially Invoiced,10229313.466543106,5719061.7574452385,5625590.534804739,0.057526709171459335
PO100020,P036,7,202306,202307,Partially Invoiced,9782653.987423811,7911966.270950107,7684755.12201377,0.0
PO100021,P036,6,202209,202209,Open,51257114.08319438,6480142.124468461,2010331.592787292,0.0
PO100022,P036,6,202211,202212,Partially Invoiced,4276523.065578235,1811837.6466778321,1394933.1101491568,0.0
PO100023,P036,13,202212,202304,Closed,3482847.8864069874,3263283.0069465605,2904964.2240581783,0.07929486566049238
PO100024,P036,14,202211,202301,Open,1050809.714026479,179636.930742963,79964.39472377412,0.0
PO100025,P036,10,202301,202303,Partially Invoiced,17353283.39088532,11579664.928184452,10326857.411988955,0.0
PO100026,P051,11,202301,202304,Partially Invoiced,6924324.534692175,5060324.20428317,4746492.823410712,0.0
PO100027,P051,4,202207,202209,Closed,8195054.347260537,8207449.038755536,7511965.499058291,0.03580588981900333
PO100028,P051,7,202307,202311,Open,4921203.810864738,400692.39337438135,47594.3289637765,0.0
PO100029,P051,2,202210,202301,Partially Invoiced,4451442.226364469,2316266.0184627897,1707068.6950984318,0.05373334785361837
PO100030,P051,14,202211,202303,Partially Invoiced,3355507.916327859,2659600.7833973086,2031471.9900546023,0.0
PO100031,P051,6,202303,202303,Open,13434620.85142681,1237025.6351021735,239030.99035224156,0.0
PO100032,P051,8,202307,202310,Partially Invoiced,39854374.88313762,21275976.745928504,18971703.367098525,0.0
PO100033,P051,8,202212,202304,Closed,11080210.821627958,10084101.990968902,8280226.308873138,0.0
PO100034,P051,3,202303,202303,Partially Invoiced,32520372.883121494,9083305.894916039,6916360.994172439,0.0
PO100035,P051,10,202306,202309,Closed,3113365.5051468597,2870873.090999206,2658396.518305537,0.0
PO100036,P051,2,202209,202209,Closed,26542227.87130669,25755254.81615571,20046557.948050532,0.05403894349030153
PO100037,P051,14,202208,202209,Partially Invoiced,5753423.233616279,1474191.241096861,1238371.808610512,0.038855349595830604
PO100038,P051,10,202303,202306,Open,15587140.474656085,1563361.6576546272,405469.9435998757,0.0
PO100039,P041,9,202305,202305,Closed,7175492.0527777895,6850993.300829756,5378952.555770335,0.0
PO100040,P041,3,202304,202306,Partially Invoiced,1972580.782124709,1430870.868823134,1081252.7078009197,0.0
PO100041,P041,7,202207,202209,Closed,2352576.793953379,2151417.6736807083,1886079.2305635975,0.0
PO100042,P041,14,202312,202402,Closed,10026621.803597817,9304288.623655755,8615768.703681674,0.0
PO100043,P041,14,202209,202210,Open,2459061.174679443,316020.37419978436,110682.8461607063,0.07350216516595867
PO100044,P041,6,202209,202209,Partially Invoiced,16270763.752181273,12412109.63592391,12195963.832191236,0.0
PO100045,P041,9,202312,202312,Partially Invoiced,26358878.224137645,12891364.47691658,12234606.471898861,0.0
PO100046,P041,6,202212,202212,Closed,56890282.54708555,57944540.23392084,54915610.92179116,0.0
PO100047,P041,10,202402,202403,Partially Invoiced,8359474.697616095,2986477.640749106,2206273.7144007306,0.0
PO100048,P041,3,202308,202312,Partially Invoiced,14798408.860949617,6233684.173028746,5602605.410420758,0.0
PO100049,P041,8,202211,202301,Partially Invoiced,17070690.038376085,5054059.79110289,3639275.3198520895,0.0
PO100050,P041,4,202312,202401,Closed,14854703.795463564,13416367.071171103,9820536.438943148,0.0
PO100051,P041,13,202310,202402,Partially Invoiced,9957600.317020701,8156399.81839483,6992883.768948752,0.036353678842353986
PO100052,P041,13,202210,202302,Partially Invoiced,6747835.23361813,2338543.1325703943,1904360.922105957,0.0
PO100053,P041,10,202404,202407,Open,15929640.19470361,1355944.4225551286,661007.8020008256,0.0
PO100054,P061,3,202302,202304,Closed,9175080.718563858,8357472.133641341,7372091.197796032,0.06434644105664976
PO100055,P061,2,202304,202305,Closed,16944887.46810897,17227978.102679096,14586151.116682831,0.045742413010434003
PO100056,P061,14,202304,202307,Closed,28959731.1247598,28438485.644813117,20059736.297381315,0.040668006740487136
PO100057,P061,9,202302,202302,Partially Invoiced,26201124.55619373,7110883.690775806,5509520.756996867,0.0
PO100058,P061,12,202303,202304,Partially Invoiced,7399238.91764892,2599042.003933499,1942524.4033157167,0.0
PO100059,P061,1,202209,202212,Closed,9559398.063819,9664321.703904254,8969292.059215266,0.0
PO100060,P061,3,202210,202211,Open,26381943.90888046,5591786.992225259,227403.16991515903,0.0
PO100061,P061,12,202212,202304,Partially Invoiced,6708958.773286355,3349155.0824945173,2358187.783928731,0.0
PO100062,P061,1,202305,202309,Open,3111989.2909943317,619825.2201572377,109413.17818153262,0.0
PO100063,P021,5,202405,202406,Partially Invoiced,7986945.395349183,2781475.2249178533,2618052.4217484556,0.0
PO100064,P021,13,202403,202405,Partially Invoiced,13438971.398461657,9381027.142520577,8609181.871443981,0.06524713003841001
PO100065,P021,9,202309,202310,Open,6972739.5320732035,1718300.0803381982,794449.5965779254,0.0
PO100066,P021,7,202312,202403,Partially Invoiced,9624442.21692881,3765419.33785992,3314863.2007745123,0.0
PO100067,P021,11,202310,202310,Closed,10505709.558490206,10408798.714872116,9301742.320800317,0.04210175755091109
PO100068,P021,5,202212,202304,Open,1166463.990186904,33819.29163953164,359.95075190209815,0.0
PO100069,P021,8,202302,202304,Partially Invoiced,5070468.457373718,1979721.7376480887,1410038.8285896727,0.0
PO100070,P021,8,202301,202304,Closed,1074863.4160874756,1043824.219332076,995590.7495164821,0.0
PO100071,P021,5,202403,202407,Open,6344704.440110004,32567.160798147408,3817.582061769482,0.0
PO100072,P021,5,202308,202309,Partially Invoiced,4014375.886953503,2356408.167542176,1679100.6805197257,0.0
PO100073,P021,5,202208,202210,Closed,25098418.960795134,24940394.385673575,19524811.940845445,0.0
PO100074,P021,14,202210,202210,Closed,7902082.250198294,7752551.540041154,5918696.432050293,0.0
PO100075,P021,1,202404,202406,Open,4360228.904442954,208283.4138372242,87725.69792666649,0.0
PO100076,P011,13,202210,202212,Open,39653824.99858068,8670254.968550045,2876287.729304076,0.07247223322119163
PO100077,P011,14,202209,202301,Closed,35441785.23170832,32769617.266144946,27749251.77775088,0.0
PO100078,P011,13,202209,202211,Partially Invoiced,20396292.622184873,8868688.4773568,6490093.49188515,0.035798956129824554
PO100079,P011,14,202306,202308,Closed,79502085.17862286,80764777.15714084,59870980.17169689,0.07229351968842337
PO100080,P011,11,202212,202303,Partially Invoiced,20343693.06547702,14544866.362941092,12614347.367048314,0.0
PO100081,P011,9,202310,202311,Partially Invoiced,39240324.89983558,13538951.409800217,12952890.401624866,0.0
PO100082,P011,10,202303,202304,Open,1977506.008566998,475523.9702014237,103303.0698799207,0.0
PO100083,P011,8,202208,202209,Closed,6985746.01145011,6925963.199495018,6305835.1500091255,0.0
PO100084,P011,11,202310,202311,Closed,23013054.18843935,21693130.873199765,18031288.700779036,0.0
PO100085,P011,14,202306,202309,Open,3297064.956774624,165800.17197060067,22841.111724148785,0.0
PO100086,P042,1,202303,202306,Closed,1733284.9599437872,1656581.0532192222,1522792.5604190947,0.0
PO100087,P042,12,202401,202404,Partially Invoiced,24830984.668449406,7889150.0004033465,6704111.724239616,0.0
PO100088,P042,13,202303,202305,Closed,3993479.27857434,3703971.327478732,3291783.4447225314,0.056034662440245506
PO100089,P042,14,202210,202302,Partially Invoiced,4603691.4740611175,3172962.8784608417,2688119.4867226994,0.0
PO100090,P042,12,202310,202310,Partially Invoiced,35024772.994978674,16028201.599502211,13592244.828823648,0.0
PO100091,P042,3,202405,202409,Open,8576941.095393546,903327.9266271602,49456.21587705891,0.03736279959797031
PO100092,P008,14,202401,202402,Closed,2331671.643224493,2344187.8317085933,2090686.3013328782,0.0
PO100093,P008,2,202211,202211,Closed,9656641.6891568,9315221.88536209,6618872.949445972,0.036276604527831866
PO100094,P008,9,202309,202309,Open,8573098.596364595,25873.20351233247,11014.506075942241,0.0
PO100095,P008,12,202404,202405,Closed,2031756.2973840032,1925784.4235943106,1420664.0828108178,0.0
PO100096,P008,10,202304,202304,Closed,18982011.631695405,19049813.00334709,15400891.834481642,0.0
PO100097,P008,9,202307,202308,Closed,9278879.72407441,9026586.11191111,8326518.991237977,0.0
PO100098,P008,13,202403,202407,Partially Invoiced,3187425.930808038,922829.1763252902,865935.1867144458,0.0
PO100099,P008,6,202406,202410,Partially Invoiced,16955248.78882553,7604756.900032227,6409463.222502106,0.0
