snapshot_month_key,month_key,project_id,forecast_eac_cost,forecast_cash_in,forecast_cash_out
202702,202703,P020,224253096.38079447,1889282.434575342,597454.089386898
202702,202704,P020,224253096.38079447,2331801.3294068123,482219.4357734567
202702,202705,P020,224253096.38079447,2044195.7537190565,695569.7609629488
202702,202706,P020,224253096.38079447,602645.9521928859,384199.28010293195
202702,202707,P020,224253096.38079447,551164.079145015,352600.5391969033
202702,202708,P020,224253096.38079447,492131.8038456833,574184.7677695731
202703,202704,P020,231619033.06463176,2360540.9864813667,778896.0774737967
202703,202705,P020,231619033.06463176,1842910.8763807272,350278.383231015
202703,202706,P020,231619033.06463176,535010.2113618625,575699.2058691274
202703,202707,P020,231619033.06463176,506594.91140138614,668142.8229068664
202703,202708,P020,231619033.06463176,454603.2860045943,806435.8942374439
202703,202709,P020,231619033.06463176,590053.9204088477,624299.8680934926
202704,202705,P020,231659373.43425268,413540.8711990334,112466.40480901573
202704,202706,P020,231659373.43425268,118043.61558768056,121934.76872405685
202704,202707,P020,231659373.43425268,101843.93047099958,185289.70473755433
202704,202708,P020,231659373.43425268,92698.4863598115,186570.14047241939
202704,202709,P020,231659373.43425268,115802.85481925821,188469.54492827132
202704,202710,P020,231659373.43425268,122558.6204734022,79542.26830610896
202705,202706,P020,236466538.19076812,343371.0528262724,335407.6492191539
202705,202707,P020,236466538.19076812,425800.9050852576,245097.7221249347
202705,202708,P020,236466538.19076812,342485.8925481447,510507.179976271
202705,202709,P020,236466538.19076812,313492.8934348041,283604.7701423174
202705,202710,P020,236466538.19076812,366207.823966106,545231.3444881712
202705,202711,P020,236466538.19076812,462861.09078637726,665606.73400482
202706,202707,P020,237400262.54098308,384884.89196548046,636131.259955026
202706,202708,P020,237400262.54098308,424421.63469928794,240381.19194078541
202706,202709,P020,237400262.54098308,419919.2290582101,393756.43234256137
202706,202710,P020,237400262.54098308,356439.3334187502,560375.734636551
202706,202711,P020,237400262.54098308,401197.81872826675,588742.7119929842
202707,202708,P020,238927585.30946094,368814.40051621106,675089.7540603285
202707,202709,P020,238927585.30946094,356614.0458958493,263563.32934995485
202707,202710,P020,238927585.30946094,396920.8608209812,551269.1597006478
202707,202711,P020,238927585.30946094,443625.50235760416,361434.60869345965
202708,202709,P020,232165054.04092643,405321.43277925265,248942.27866018302
202708,202710,P020,232165054.04092643,382387.4187442229,505396.43271635106
202708,202711,P020,232165054.04092643,340539.8652980792,338596.01883858274
202709,202710,P020,232381264.4854985,414237.8242935825,638660.9494070943
