month_key,project_id,company_key,client_key,region_key,fx_rate,progress_pct,earned_revenue_pln,invoiced_revenue_pln,cash_received_pln,direct_material_cost_pln,direct_labor_cost_pln,subcontractor_cost_pln,equipment_cost_pln,other_direct_cost_pln,overhead_allocated_pln,fx_gain_loss_pln,total_cost_pln,wip_pln,eac_cost_pln,eac_margin_pct,dso_days,invoice_count,purchase_orders_count,headcount,labor_hours,safety_incidents,claim_risk_score
202410,P001,1,2,1,1.0,2.4984038423860464,5356775.463665671,5064413.739147912,0.0,2288075.2857987867,157547.2698705463,191100.335200906,113240.65567581358,282165.8981572689,859353.4313903259,0.0,3891482.876093647,292361.72451775894,188163440.9274605,0.1224043886132021,27.044662303006024,6,10,18,3096,0,60.18307646276956
202411,P001,1,2,1,1.0,2.4984038423860464,0.0,0.0,5235590.387422635,3487398.1593174096,256458.3370015575,295872.62059095764,212177.3819944072,434350.13234401454,851049.131388722,0.0,5537305.762637069,292361.72451775894,193700746.6900976,0.0965783556057036,35.11346189048131,1,9,9,1572,0,57.2613542394986
202412,P001,1,2,1,1.0,2.4984038423860464,0.0,0.0,0.0,4816596.263808096,368189.5953811561,411103.5977215105,374358.1566260615,589428.0537717895,879469.6250032791,0.0,7439145.292311893,292361.72451775894,201139891.98240945,0.0618821296607362,43.12146229994635,3,10,11,1901,1,61.945759344379326
202501,P001,1,2,1,1.0,4.373943715613629,4021305.8447897336,3724921.783769492,0.0,5573228.658169942,549351.1696754859,659090.5547269104,653250.1420845088,735430.9810755189,874570.8621815896,0.0,9044922.367913956,588745.7855379991,206867009.34517577,0.035170814015746,34.735547609815995,4,11,12,2034,1,32.250679300857
202502,P001,1,2,1,1.0,5.026952267748621,1400101.9892364005,1304290.7483386835,3845549.541405689,7010172.060626085,719106.7759855832,892400.4628920835,964143.3348831928,968173.3670526856,878308.4806045747,0.0,11432304.482044203,684557.0264357142,217142061.9633152,-0.0127521036349994,41.20270869813892,3,20,17,2808,1,16.2662457167469
202503,P001,1,2,1,1.0,9.71565284669779,10052944.92094726,9734893.576959904,1358742.4644893834,8119772.91741918,993027.5432786868,1192551.109846281,1368371.0274632424,1103130.0418137105,848338.9262002598,0.0,13625191.56602136,1002608.3704230712,222426330.7386205,-0.0373979703545821,20.45142279546586,19,15,20,3172,0,46.63792299342457
202504,P001,1,2,1,1.0,15.618250356509805,12655635.96086138,11909965.763532104,10130606.185463434,8681762.128094042,1243095.4877884816,1636529.6377492924,1805392.2740752825,1276511.812454048,842259.0687344297,0.0,15485550.408895576,1748278.5677523464,227332434.398525,-0.0602800723172088,26.38564245423628,12,12,19,3075,0,45.17911852098362
202505,P001,1,2,1,1.0,29.644781281980244,30073991.81316893,30563530.09665547,12665670.753945682,8290082.626038263,1394837.0452338278,1819377.3247715093,2145840.4455858977,1500559.4181577151,862803.1301764062,0.0,16013499.989963615,1258740.2842658088,217852089.6259863,-0.0160636776456149,30.4726646938417,51,16,17,2901,0,26.73990288329453
202506,P001,1,2,1,1.0,42.447685613500425,27450439.60597188,26901530.241480336,28352169.90223337,7832047.455366382,1736039.7927131231,2264425.3245458044,2568845.6166777727,1622454.079787464,841337.8514311322,0.0,16865150.12052168,1807649.6487573527,211012926.62996548,0.0158342266512176,34.329795844603275,34,11,23,3832,0,40.45237555619802
202507,P001,1,2,1,1.0,58.29166080935835,33970736.09006439,33489273.81511005,25205368.065974467,7066165.884053873,1835597.7271356285,2315604.4355188794,2441789.110186791,1751324.7706551133,910461.587339651,0.0,16320943.514889937,2289111.923711688,197424993.1019429,0.0792084441571851,42.90638411091138,43,20,24,3893,0,34.647722361655255
202508,P001,1,2,1,1.0,71.46610751449766,28247055.84428759,24900203.77398374,35483633.33752453,5815094.418844236,1760576.4486487736,2778751.629171898,2573576.332292422,1664050.941551368,881569.1413419817,0.0,15473618.911850682,5635963.994015545,187545489.8488665,0.125286516788329,36.31546838697204,24,8,29,4836,0,47.29530430541944
202509,P001,1,2,1,1.0,82.27461763549697,23174300.6605594,23381860.68168436,26424542.01427736,3887608.067788528,1804825.6449212828,3135366.0217609,2340614.8557976545,1581043.5806057914,837345.4380544928,0.0,13586803.608928649,5428403.972890586,179953351.76099104,0.1606963022074352,39.79518811963971,23,5,34,4897,0,41.94400217184149
202510,P001,1,2,1,1.0,91.48271532074185,19742889.804495744,16687859.51079066,21002648.59382168,3076712.437872045,1673880.3596278925,2977262.2086080816,1968579.887534157,1540071.6935085268,898615.5692388082,0.0,12135122.15638951,8483434.266595691,173783101.58352515,0.1894743924156718,32.52977912504853,17,8,34,5923,0,35.42882594598042
202511,P001,1,2,1,1.0,91.48271532074185,0.0,0.0,15823603.643634632,2048514.221090436,1350887.6493927203,2762198.35426435,1474180.7114011713,1407008.1902190235,862768.9790988833,0.0,9905558.105466584,8483434.266595691,183688659.68899173,0.1432747997697992,19.97025317121637,1,6,31,4735,1,37.85850991531399
202512,P001,1,2,1,1.0,96.9318111736342,11683292.536109462,10550089.80983917,0.0,1337006.7165300052,1205393.747953509,2451171.787158578,1080612.71468102,1323995.5372229912,871374.2495885339,0.0,8269554.753134638,9616636.99286601,181125604.7240629,0.1552289061460313,21.738256665293093,12,5,19,3249,0,20.78284126588584
202601,P001,1,2,1,1.0,97.43809355370598,1085509.4701842647,1048273.4226154032,10540730.901812231,809934.1676799905,994084.582982312,2313904.8962666253,639648.1640072848,1153129.7449450197,895334.1663887793,0.0,6806035.722270011,9653873.040434867,186925168.99152467,0.1281796976281964,29.645618192670884,3,3,23,3853,0,37.55817444349222
202602,P001,1,2,1,1.0,97.85171156077332,886829.7246423558,852973.9890979427,1099820.2513118142,426310.6805725049,701075.7829738148,2073734.7922868603,404524.0013229561,964674.4094310222,880636.5675877689,0.0,5450956.234174928,9687728.77597928,191553867.2651344,0.1065914163375736,35.44488558779741,5,8,30,4897,0,0.0
202603,P001,1,2,1,1.0,100.0,4606100.344904891,10272634.037426936,858058.4312374139,227907.49087053136,530384.5100140591,1556755.6651029433,223181.9278327718,716661.7418935013,856400.6621319992,0.0,4111291.9978458057,4021195.083457232,191394437.8713537,0.1073349961510502,39.90516825482487,19,3,17,2730,0,49.93516379020326
202409,P002,1,7,5,1.0,3.868327583598172,6770771.445913588,6874116.181394004,0.0,894458.3720714839,122079.55155444758,142306.64784561333,259515.4674876493,69649.83119938715,1363174.7157979277,0.0,2851184.5859565088,-103344.73548041657,157780145.05234852,0.0985587209290802,25.48527294028657,6,3,11,1788,0,26.09818950998916
202410,P002,1,7,5,1.0,4.526693028834627,1152343.4510778545,950352.677376208,6812539.657934679,1464491.0090026562,205872.14540138733,247426.85327811667,541561.9058094368,82910.10827981427,1386387.078731851,0.0,3928649.100503262,98646.0382212298,160731913.6397092,0.081694456733931,34.92392577283248,5,6,17,2875,1,54.18476171946703
202411,P002,1,7,5,1.0,8.005184149179193,6088436.88739145,5677686.993554334,895898.4944607263,2144599.3493996686,303949.20647825894,390504.7386761956,771698.3667312778,121137.82923217556,1409889.9426980074,0.0,5141779.433215584,509395.9320583455,160693051.39397967,0.0819164874114055,23.253006607692324,10,8,16,2670,0,66.41981403884185
202412,P002,1,7,5,1.0,9.68194754643708,2934855.3053892776,2765206.837883558,5995548.115618103,2354763.286347009,421299.2882560028,621125.6680362446,1447074.421733678,154126.01999616498,1388797.4177106402,0.0,6387186.10207974,679044.399564065,164571399.32029784,0.0597584211083079,15.0,14,10,32,4785,0,59.13272778251473
202501,P002,1,7,5,1.0,14.052887366631234,7650498.538918831,7691674.87466495,2354883.117391102,3441937.060314652,576575.7533942298,804244.560377933,2623674.3337912103,201213.8715323773,1336621.7637914948,0.0,8984267.343201896,637868.0638179444,166980303.05342236,0.0459956928409075,29.786141520748,12,11,15,2257,0,48.02087681633019
202502,P002,1,7,5,1.0,18.91788385585533,8515250.738684598,9088120.246989563,7313082.701247469,2932508.6040020552,879654.4622530509,1151676.314522907,2994708.0811523222,196460.4451724905,1421650.233793549,0.0,9576658.140896374,64998.55551297963,169178206.42522675,0.0334384675569766,16.865414339824966,12,12,12,2038,0,26.663457365432063
